Pair,Address0,Address1,Reserves0,Reserves1
0x679449a920087828776aeEF4074549410D5c8065,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,1402719454,2143275320912311638892
0x27686D3F7c0f1bEc2Bf3F5eaDC596F1919b02583,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0xae75A438b2E0cB8Bb01Ec1E1e376De11D44477CC,2836884560904948957,37256307041320370
0xbA923EdA2F966F5e175868fca003235e79938960,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x7e663a57ec6AD9164C4147a558B489daf20aE454,105020557586975675,59388837960495550851019
0x99e704D95fd7B599F4eEA70B39221020ACA2e3bC,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xc908AE61B7E798A49a5876bDf0c307f02a3Ebce6,239765876901529362,3678109694140044595893
0xd8E0442D37095D7B29F5906d71E6048caCc4b78b,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0xB01E8419d842beebf1b70A7b5f7142abbaf7159D,288038479830107221,446160046692270
0xcb60C0186fd8D8cD2b6afe1bB7384FE84947FB99,0x2172F31b961FB89035DC68DE7AEeC578278C1648,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,47902347262935393081906,38739841718752050
0x0eC0E1629E776272FA3E55548D4A656BE0EEdcF4,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xaf319E5789945197e365E7f7fbFc56B130523B33,5276089635489758028907,1300428635545434952926
0xCA4cBd86594B27952a57D476a7052FC246c580C8,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0xaf319E5789945197e365E7f7fbFc56B130523B33,951343739800805077,18879435776413845
0x7Ac46cc50Af9ce7fF085b86Ba7c7B0Ac2743A038,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0x657A1861c15A3deD9AF0B6799a195a249ebdCbc6,3477843294385549214,2530927018269910
0xf476D2b77192A34C7cf81E2A7C61f8673C8191e5,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x841FAD6EAe12c286d1Fd18d1d525DFfA75C7EFFE,42433128157776678988,4183896539428383497
